,phonetics_id,names,phonetics
3554,3554,bouterse,BOW-tehr-seh
3555,3555,bouyeri,boo-YEH-ree
3556,3556,bouziane,boo-zee-ANN
3557,3557,bove,BOH-vee
3558,3558,bozize,BOH-zee-zay
3559,3559,bozlak,BOHZ-lahk
3560,3560,bracanovic,braht-SAHN-oh-vihch
3561,3561,braghis,BRAH-gihsh
3562,3562,brahimi,brah-HEE-mee
3563,3563,brammertz,BRAHM-ahrtz
3564,3564,brandt,BRAHNDT
3565,3565,brankovic,BRAHN-koh-veech
3566,3566,brash,BR-ASH
3567,3567,brazauskas,brah-ZAWS-kahs
3568,3568,brdjanin,brr-JAH-nihn
3569,3569,bremer,BREH-mehr
3570,3570,brennan,BREH-nahn
3571,3571,breton,BREH-tah(n)
3572,3572,brezezinski,breh-ZHIHN-skee
3573,3573,brezigar,BREH-zee-gahr
3574,3574,briceno,bree-SAYN-yoh
3575,3575,brillant,BREE-yah(n)
3576,3576,brinkema,BRINK-eh-mah
3577,3577,brkic,BRR-kihch
3578,3578,brochand,BROH-shah(n)
3579,3579,brovina,BROH-vee-nah
3580,3580,bryant,BR-EYE-ahnt
3581,3581,bubenik,BOO-BEH-NEEK
3582,3582,bucar,BOO-chahr
3583,3583,bucaram,boo-kah-RAHM
3584,3584,buckovski,BOOCH-KAWF-SKEE
3585,3585,bucmys,booch-MEES
3586,3586,budanov,boo-DAH-nawf
3587,3587,budisa,BOO-dih-shah
3588,3588,buha,BOO-hah
3589,3589,buhari,boo-HAH-ree
3590,3590,bukejlovic,boo-KAY-loh-vihch
3591,3591,bulatovic,boo-LAH-toh-vihtch
3592,3592,bulatovic,boo-LAH-toh-vihch
3594,3594,bulatsev,boo-LAHT-sehv
3595,3595,bule,BOO-leh
3596,3596,bulgak,bool-GAHK
3597,3597,bulua,bool-WAH
3598,3598,bures,BOO-rehsh
3599,3599,burg,BOORG
3600,3600,burjzanadze,boor-jah-NAHD-zeh
3601,3601,burnham,BERR-nehm
3602,3602,burokevicius,boo-roh-KAY-vihch-uhs
3603,3603,bussereau,BOO-seh-roh
3604,3604,bustamante,boo-stah-MAHN-tay
3605,3605,buthelezi,boo-teh-LAY-zee
3606,3606,butkevicius,buht-KAH-veh-chuhs
3607,3607,buttigieg,BOOT-edge-edge
3608,3608,buttiglione,boo-teel-YOH-neh
3609,3609,buyoya,boo-YOH-yah
3610,3610,buyukanit,BYOOK-ah-niht
3611,3611,buzek,BOO-zehk
3612,3612,cabello,kah-BAY-yoh
3613,3613,cabigiosu,kah-bee-JOH-zoo
3614,3614,cabral,kah-BRAHL
3615,3615,cacic,CHAH-cheech
3616,3616,cakan,CHAH-kahn
3617,3617,cakmakoglu,jahk-mahk-OH-loo
3618,3618,caldera,kahl-DAY-rah
3619,3619,calderon,kahl-deh-ROHN
3621,3621,calfa,CHAHL-fah
3622,3622,camano,kah-MAHN-yoh
3623,3623,camara,kah-MAH-rah
3624,3624,camdessus,KAHM-day-soo
3625,3625,camejo,kah-MAY-hoh
3626,3626,cameron,KAM-uh-ruhn
3627,3627,campeanu,kuhm-PEE-AH-noo
3628,3628,canak,CHAH-nahk
4034,4034,capriles,kah-PREE-lehs
4035,4035,captan,KAP-TAN
4036,4036,caputo,kah-POO-toh
4037,4037,caramanlis,kah-rah-mahn-LEESS
4038,4038,carbone,kahr-BOH-nee
4039,4039,cardenal,kahr-day-NAHL
4040,4040,cardenas,KAHR-day-nahs
4041,4041,carlos,KAHR-lohss
4042,4042,carmona,kahr-MOH-nah
4043,4043,carrascalao,kah-RAHS-koh-LAH-oh
4044,4044,carstens,KAHR-stehns
4045,4045,carter,KAHR-tehr
4046,4046,cartes,KAHR-TEHS
4047,4047,caruana,kah-roo-AH-nah
4048,4048,castaneda,kahs-tahn-YAY-dah
4049,4049,castano,kah-STAHN-yoh
4050,4050,castro,kas-troh
4051,4051,castro,KASS-troh
4052,4052,casule,CHAH-shoo-leh
4053,4053,cavallo,kah-VAH-loh
4054,4054,cavic,CHAH-vihch
4055,4055,ceausescu,chow-oo-SHEHS-koo
4056,4056,ceku,CHAY-koo
4057,4057,celeste,seh-LEHST
4058,4058,celestin,seh-lehs-TAH(n)
4059,4059,celinski,(t)seh-LEEN-skee
4060,4060,cenac,SNACK
4061,4061,ceren,SAHN-chehs
4062,4062,cerezo,seh-RAY-soh
4063,4063,ceric,(t)SEH-reech
4064,4064,cerkez,CHEHR-kehz
4065,4065,cermak,CHEHR-mahch
4066,4066,cesic,CHEH-sihch
4067,4067,cetin,cheh-TIHN
4068,4068,chacon,chah-KOHN
4069,4069,chaika,CH-EYE-kah
4070,4070,chakuamba,chah-koo-AHM-bah
4071,4071,chalabi,CHAL-ah-bee
4073,4073,chalgam,CHAHL-gahm
4074,4074,chamoun,shah-MOON
4075,4075,chamsyah,HAHM-shee-yah
4076,4076,chanaa,shah-NAH-ah
4077,4077,chandrasekhar,chahn-drah-SHAY-kahr
4078,4078,chao,CHOW
4079,4079,charles,SHARL
4080,4080,charles,CHAHRLZ
4081,4081,charles,SHAHRL
4082,4082,charles,CHAHRLS
4083,4083,charnchoengsilpakul,chahn-CHERNG-sihl-ah-pah-KOON
4084,4084,chatterjee,CHAT-ehr-jee
4085,4085,chatty,SHAH-tee
4086,4086,chaudhari,CHOW-deh-ree
4087,4087,chaudry,CHAW-dree
4088,4088,chaudry,CHOW-dree
4089,4089,chavez,CHAH-vehs
4090,4090,chawla,CHAHV-lah
4091,4091,chea,CHEE-ah
4092,4092,chebani,SHEH-bah-nee
4093,4093,chechyk,CHEH-chehk
4094,4094,cheiffou,CHAY-foo
4095,4095,chekkouri,cheh-KOO-ree
4096,4096,chen,CHEHN
4097,4097,cheney,CHAY-nee
4098,4098,chernayev,chehr-NAH-yehf
4099,4099,chernenko,chehrn-YEHN-koh
4100,4100,chernomyrdin,churn-oh-MEHR-dihn
4101,4101,chernovyl,chohr-noh-VEEL
4102,4102,chertoff,CH-ERR-tawf
4103,4103,chettiar,CHEH-tyahr
4104,4104,chiaberashvili,chee-ah-beh-rahsh-VEE-lee
4105,4105,chibebe,chih-BEH-beh
4106,4106,chidambaram,chih-DAHM-bah-RAHM
4107,4107,chidiac,SHIHD-yahk
4109,4109,chigir,shih-GEER
4110,4110,chigwedere,chihg-weh-DEH-ree
4111,4111,chikelu,chih-KAY-loo
4112,4112,chikoti,shee-KAWT
4113,4113,chiluba,chih-LOO-bah
4114,4114,chilumpha,chih-LOOM-pah
4115,4115,chinamasa,chee-nah-MAH-sah
4116,4116,chinchilla,cheen-CHEE-ah
4117,4117,chirac,SHEE-RAHK
4118,4118,chirwa,CHEER-wah
4120,4120,chissano,shee-SAH-noo
4122,4122,chitengi,chih-TEHN-ghih
4123,4123,chizhov,CHEE-zhawf
4124,4124,chkhobadze,ch-koh-BAHD-zeh
4125,4125,cholponbayev,chohl-pahn-B-EYE-ehf
4126,4126,chopel,choh-PEHL
4127,4127,choquehanca,choh-kee-WAHN-kah
4128,4128,chowdhury,CHOH-dree
4131,4131,chretien,KRAY-TEE-YAN
4132,4132,christodoulakis,krees-toh-doo-LAH-kees
4576,4576,christofias,krees-TAWF-ee-ahs
4577,4577,chrobog,KROH-bohk
4578,4578,chrysohoidis,kree-soh-hoh-EE-dees
4579,4579,chubais,chew-B-ICE
4580,4580,chudinov,choo-DEE-nawv
4581,4581,chung,OON-CHAN
4582,4582,churkin,CHOOR-kihn
4583,4583,ciaston,chyah-STOHN-yih
4584,4584,cic,CHEECH
4585,4585,cicek,cheh-CHEHK
4586,4586,cicek,CHEE-chehk
4587,4587,ciechanover,chee-HAH-noh-vehr
4588,4588,cifuentes,see-foo-EHN-tays
4589,4589,ciller,chee-LEHR
4590,4590,cimatu,SEE-mah-too
4591,4591,cimoszewicz,chee-moh-SHEH-veech
4592,4592,cioroianu,chohr-oh-YAH-nooh
4593,4593,cisar,(t)SEE-sahr
4594,4594,cisse,SEE-say
4595,4595,claes,KLAHS
4596,4596,clegg,KLEHG
4597,4597,clerides,kleh-REE-thees
4598,4598,clodumar,kloh-doo-MAHR
4599,4599,clwyd,KLOO-wihd
4600,4600,cochet,koh-SHAY
4601,4601,coeme,koh-EHM
4602,4602,coetzee,kuht-SEE-eh
4603,4603,cofferati,kof-feh-RAH-tee
4604,4604,cojuangco,koh-WAHNG-koh
4605,4605,colom,koh-LOHM
4606,4606,colonna,kuh-luh-NAH
4607,4607,compaore,kohm-POOR-ray
4608,4608,conde,KOHN-day
4609,4609,conille,koh-NEE
4610,4610,constantinescu,kohn-stahn-tee-NEHS-koo
4611,4611,conte,KOHN-TAY
4612,4612,contreras,kohn-TRAY-rehs
