phonetics_id,names,phonetics
6816,basir,bah-SEER
6817,amrullah,ahm-roo-LAH
6818,barham,BAHR-hahm
6819,ataollah,ah-taw-oh-LAH
6820,hamsiraji,HAHM-SIH-RAH-JEE
6821,ezzidin,eh-zih-DEEN
6822,macky,MACK-ee
6823,halifa,hah-LEE-fah
6824,syed,s-eye-EHD
6825,fawzi,FOW-zee
6826,gastao,gas-TAH-OH
6827,bivan,BEE-vahn
6828,isias,ih-sah-EE-ahs
6829,antonis,ahn-TOH-nees
6830,mangala,MAN-gah-lah
6831,soares,SWAH-rehsh
6832,abutalib,ah-boo-TAW-lihb
6833,cornelio,kohr-NEE-lee-oh
6834,jorge,ZHAHRZH
6835,ernesto,air-NEHS-toh
6836,imam,ih-MAHM
6837,elizardo,eh-lee-SAHR-doh
6838,joberman,HOH-behr-mahn
6839,eduard,ehd-wahrt
6840,thomas,toh-MAH
6841,foday,FOH-day
6842,amadou,ah-mah-DOO
6843,elvin,ehl-VEEN
6844,djoko,JOH-koh
6845,shyam,SHAHM
6846,kadyrbek,kah-DEER-behk
6847,hrvoje,HEHR-voh-yeh
6848,irina,ee-REE-nah
6849,tigran,TEE-grahn
6850,vazgen,VAHS-ghehn
6851,nicolas,nee-koh-LAH
6852,morteza,mohr-tay-ZAH
6853,jose,zhoo-ZEH
6854,altynbek,ahl-TIHN-behk
6855,christos,KREES-tohs
6856,asadullah,ah-sah-doo-LAH
6857,kenichiro,keh-NEE-chee-roh
6858,wiryono,weer-YOH-noh
6859,abdul,AHB-dool
6860,abdus,ahb-DOOSS
6861,salahuddin,sah-lah-hoo-DEEN
6862,kanat,KAH-naht
6863,vural,voo-RAHL
6864,siddhi,SIHDT
6865,jonas,JOH-nuhs
6866,edgar,EHT-gahr
6867,grish,ghee-REESH
6868,fazil,FAH-zihl
6869,mercedes,mehr-SAY-dehs
6870,choummaly,choo-mah-LEE
6871,jamil,zhah-MEEL
6872,claudio,KLOH-dee-oh
6873,antonin,ANN-toh-nihn
6874,mary,MEH-ree
6875,terri,TEH-ree
6876,ron,RAHN
6877,brigita,BREEG-ee-tah
6878,christoph,KREES-tawf
6879,gerhard,G-AIR-hahrt
6880,wolfgang,VOHLF-gahng
6881,didier,DIHD-YAY
6882,gesine,geh-ZEE-neh
6883,ludwig,LOOD-wihg
6884,brent,BREHNT
6885,kathleen,KATH-LEEN
6886,idrissa,ee-DREE-sah
6887,mareks,MAH-rehks
6888,philippe,fee-LEEP
6889,riad,ree-AHD
6890,fatmir,FAT-meer
6891,chandra,CHUHN-drah
6892,vladimir,VLAH-dih-meer
6893,haile,H-EYE-lay
6894,seth,SEHTH
6895,abullatif,ahb-dool-ah-TEEF
6896,nedim,neh-DIHM
6897,generoso,heh-noh-ROH-soh
6898,jona,JOH-nah
6899,nabi,NAH-bee
6900,ain,EYE-N
6901,igor,EE-gehr
6902,pavlos,PAHV-lohs
6903,thomas,THOH-mahs
6904,athanase,ah-thah-NAH-see
6905,horatio,oh-RAH-see-oh
6906,jose,joo-ZEH
6907,vojislav,VOY-EE-SLAHV
6908,benon,BEH-nahn
6909,ismet,IHSS-meht
6910,nasrallah,nahs-RAH-lah
6911,guiliana,joo-lee-AH-nah
6912,qaisar,K-EYE-sahr
6913,masoumeh,mah-soo-MEH
6914,shabir,shah-BEER
6915,makdoom,mahk-DOOM
6916,amnon,AHM-nahn
6917,nematullah,nee-mah-too-LAH
6918,mintimer,mihn-teh-MEER
6919,vasily,vah-SIH-lee
6920,gilad,ghee-LAHD
6921,silvan,SIHL-vehn
6922,sergey,s-air-GAY
6923,ramsewak,rahm-seh-WAHK
6924,ahmad,ah-MAHD
6925,mashallah,mah-shah-LAH
6926,hisham,HEE-sham
6927,mohieddin,moh-hee-uh-DEEN
6928,nawaz,nah-WAHZ
6929,shahbaz,SHAH-BAHZ
6930,salizhan,sah-lee-ZHAHN
6931,ariel,ah-ree-EHL
6932,omri,OHM-REE
6933,teimuraz,tay-moo-RAHZ
6934,vishnukant,VIHSH-noo-kahnt
6935,hailu,H-EYE-loo
6936,asef,ASS-ehf
6937,natan,nah-TAHN
6938,gani,gah-NEE
6939,eduard,ehd-WAHRD
6940,alwi,AHL-WEE
6941,boris,baw-RIHS
6942,khizri,KEEZ-ree
6943,chaisit,CH-EYE-siht
6944,masajuro,mah-SAH-joo-roh
6945,yasuhisa,yah-soo-HEE-sah
6946,volodymyr,vaw-luh-duh-MEER
6947,zalman,ZAHL-mahn
6948,stanislav,stah-nee-SLAHF
6949,kanwal,KAHN-wahl
6950,gibson,GHIHB-suhn
6951,aafia,AH-fee-ah
6952,volen,VOH-lehn
6953,talal,tah-LAHL
6954,abdulbaset,ahb-duhl-BAW-seht
6955,johanna,yoh-HAH-nah
6956,norodom,naw-rah-DUHM
6957,ahmet,AH-MEHT
6958,mundia,muhn-DEE-ah
6959,dusko,DOOSH-kaw
6960,radek,RAH-dehk
6961,derek,DEH-rihk
6962,timbul,TIHM-BUHL
6963,haris,HAH-reess
6964,gabriel,gah-bree-EHL
6965,leonardo,lay-oh-NAHR-doo
6966,mahidin,mah-hih-DIHN
6967,dumarsais,doo-mahr-SAY
6968,yehude,yeh-HOO-dee
6969,ivan,EE-vuhn
6970,amrinder,ahm-RIHN-dehr
6971,digvijay,DIHG-vee-jay
6972,jaswant,jahs-WAHNT
6973,madhvendra,MAHD-vehn-drah
6974,manmohan,mahn-MOH-hahn
6975,natwar,NEHT-wahr
6976,rajnath,RAHJ-NAHT
6977,sarabjit,sah-rahb-JEET
6978,tapan,TAH-pahn
6979,yashwant,YAHSH-wahnt
6980,fuad,foo-ADD
6981,therence,TEH-rehns
6982,jamiruddin,jah-meer-oo-DIHN
6983,iqbal,ihk-BAHL
6984,syamsir,shahm-SEER
6985,lindiwe,LIHND-eh-way
6986,krishna,KRIHSH-nah
6987,sanel,SAH-nehl
6988,andris,AHN-drees
6989,phandu,PAHN-doo
6990,roosevelt,ROO-seh-vehlt
6991,ainars,EYE-nahrs
6992,milenko,mee-LEHN-koh
6993,ephriam,EHF-R-EYE-AHM
6994,abilio,ah-BEE-lee-oo
6995,bohuslav,BOH-hoo-slahf
6996,manasseh,MAHN-ah-seh
6997,nicephore,NEE-seh-fohr
6998,hadi,had-EE
6999,hilda,HIHL-dah
7000,otton,OHT-OHN
7001,mehrnoush,mehr-NOOSH
